# 辞書 — 読み（歴史的仮名遣ひ）→ 表記（焼き付け成果物・テキスト）
#
# ここが**唯一の出所**で、Rust の表は scripts/gen_jisho_tables.py がこの一つの
# ファイルから起こす（docs/ime/artifacts.md）。**テキストで持つ**のは、
# git diff が読めることに賭けてゐるからである——辞書は人が眺めて直す成果物で、
# 「なぜ候補が変はつたか」が差分で分かる必要がある。
#
# 形式: 読み<TAB>表記<TAB>度数<TAB>品詞。品詞は 自（自立語）／付（付属語）の二種のみ。
# 文節は「自立語 ひとつ ＋ 付属語 いくつか」であり、この二分で分割が決まる
# （core/src/bunsetsu.rs）。細かい品詞は分割に効かないので持たない（発明しない）。
#
# 表記は**新字体**で持つ。旧字体は確定のときに核が機械で定める（core/src/kyuji.rs）ので、
# ここで二重に持つと二つの表がずれる（天気 と 天氣 の両方を抱へることになる）。
#
# 並びは「読み昇順・度数降順・表記昇順」に正規化されてゐる。
# scripts/gen_jisho_tables.py がこのファイル自身を書き直すので、
# 手で足した行が順序を崩しても CI の鮮度ゲートが拾ふ。
#
# meta: source=seed entries=232 books=0
あかき	赤き	220	自
あき	秋	340	自
あさ	朝	500	自
あし	悪し	300	自
あし	足	300	自
あす	明日	380	自
あつき	暑き	180	自
あの	あの	300	自
あはれ	哀れ	240	自
あめ	雨	460	自
あり	有り	1400	自
ある	有る	1200	自
あをき	青き	220	自
いく	行く	400	自
いし	石	300	自
いと	いと	500	自
いのち	命	380	自
いひ	言ひ	500	自
いふ	言ふ	1000	自
いへ	家	520	自
いま	今	700	自
いろ	色	400	自
うち	内	380	自
うつくしき	美しき	300	自
うへ	上	460	自
うま	馬	240	自
うみ	海	500	自
うれしき	嬉しき	240	自
おそき	遅き	180	自
おと	音	300	自
おほき	大き	380	自
おもひ	思ひ	420	自
おもふ	思ふ	900	自
か	か	2600	付
かく	書く	500	自
かく	かく	300	自
かげ	影	260	自
かぜ	風	520	自
かた	方	400	自
かたち	形	240	自
かなしき	悲しき	280	自
かの	かの	380	自
かは	川	560	自
かほ	顔	380	自
かみ	神	300	自
かみ	紙	240	自
から	から	1600	付
からだ	体	240	自
が	が	4800	付
がく	学	240	自
がくもん	学問	200	自
き	き	1500	付
き	木	420	自
きく	聞く	620	自
きた	北	180	自
きたる	来る	260	自
きのふ	昨日	400	自
きみ	君	420	自
くさ	草	300	自
くち	口	320	自
くに	国	700	自
くも	雲	300	自
くる	来る	420	自
くろき	黒き	220	自
けふ	今日	900	自
けむ	けむ	500	付
けり	けり	1700	付
こ	子	400	自
ここ	此処	260	自
こころ	心	900	自
こそ	こそ	700	付
こと	事	1100	自
ことば	言葉	380	自
この	この	800	自
こひ	恋	320	自
こゑ	声	380	自
ごとし	ごとし	350	付
さす	さす	400	付
さむき	寒き	200	自
され	され	200	自
されど	されど	260	自
し	し	1400	付
しかし	しかし	300	自
した	下	440	自
しばし	暫し	220	自
しむ	しむ	400	付
しり	知り	300	自
しる	知る	480	自
しろ	城	220	自
しろき	白き	240	自
じ	字	200	自
す	す	900	付
すでに	既に	260	自
すみ	墨	200	自
すら	すら	180	付
する	為る	500	自
ず	ず	1900	付
そと	外	300	自
